clusterMethod,Mean,Median,Trimean,Best 25%,Worst 25%,Maxium,Mean_rpe,Median_rpe,Trimean_rpe,Best25%_rpe,Worst25%_rpe,Maxium_rpe
GW,4.89 ,3.64 ,4.01 ,0.94 ,10.78 ,25.84 ,6.20 ,4.88 ,5.21 ,1.16 ,13.51 ,28.29 
WP,3.85 ,2.50 ,2.92 ,0.52 ,9.42 ,23.44 ,4.78 ,3.20 ,3.60 ,0.63 ,11.56 ,31.12 
SOG,6.37 ,4.00 ,4.89 ,0.78 ,15.30 ,35.75 ,7.18 ,5.02 ,5.73 ,0.94 ,16.57 ,25.69 
GE1,5.87 ,4.25 ,4.75 ,0.76 ,13.71 ,32.43 ,6.74 ,5.31 ,5.69 ,0.90 ,15.25 ,27.41 
GE2,6.42 ,3.83 ,4.79 ,0.93 ,15.83 ,37.27 ,7.16 ,4.76 ,5.61 ,1.07 ,17.00 ,31.32 
PCA,6.94 ,4.41 ,5.43 ,1.06 ,16.53 ,45.97 ,7.61 ,5.40 ,6.24 ,1.21 ,17.31 ,32.77 
GGW,4.10 ,2.52 ,2.98 ,0.53 ,10.16 ,28.60 ,5.11 ,3.20 ,3.80 ,0.65 ,12.56 ,40.59 
LSR,3.99 ,3.05 ,3.35 ,1.38 ,8.06 ,20.48 ,4.85 ,3.88 ,4.14 ,1.62 ,9.70 ,21.47 
fcmTrainFeatSet,3.01 ,2.25 ,2.41 ,0.67 ,6.67 ,18.65 ,3.93 ,2.80 ,3.03 ,0.79 ,9.10 ,44.46 
kfcmTrainFeatSet,3.01 ,2.24 ,2.40 ,0.67 ,6.70 ,19.48 ,3.94 ,2.75 ,2.97 ,0.79 ,9.17 ,47.80 
fcmTrainFeatSet(f1_cm),2.58 ,1.32 ,1.74 ,0.00 ,7.50 ,19.02 ,3.32 ,1.53 ,2.10 ,0.00 ,9.79 ,25.57 
fcmTrainFeatSet(f2_corrm),3.32 ,2.62 ,2.76 ,0.70 ,7.24 ,19.90 ,4.29 ,3.26 ,3.47 ,0.85 ,9.52 ,23.77 
fcmTrainFeatSet(f2_corrm_root),3.61 ,2.94 ,3.07 ,0.80 ,7.72 ,20.45 ,4.67 ,3.60 ,3.83 ,0.98 ,10.24 ,33.71 
fcmTrainFeatSet(f3_cdf),8.19 ,2.48 ,3.08 ,0.00 ,27.70 ,175.01 ,9.35 ,3.00 ,3.79 ,0.00 ,31.18 ,175.30 
fcmTrainFeatSet(f4_iif),4.14 ,3.09 ,3.39 ,0.95 ,9.05 ,22.22 ,5.41 ,3.70 ,4.29 ,1.11 ,12.37 ,36.54 
fcmTrainFeatSet(f4_iif_s4),4.13 ,2.98 ,3.29 ,0.85 ,9.25 ,22.20 ,5.45 ,3.54 ,4.21 ,1.02 ,12.68 ,38.58 
fcmTrainFeatSet(f5_RGBuv),3.25 ,2.34 ,2.55 ,0.70 ,7.30 ,22.43 ,4.41 ,3.01 ,3.26 ,0.83 ,10.46 ,118.64 
fcmTrainFeatSet(f6_feat4Cheng),4.16 ,3.04 ,3.41 ,0.85 ,9.28 ,19.06 ,5.46 ,3.61 ,4.30 ,0.98 ,12.71 ,30.60 
fcmTrainFeatSet(f7_comp2),3.07 ,2.21 ,2.41 ,0.70 ,6.83 ,18.40 ,4.00 ,2.69 ,2.99 ,0.82 ,9.23 ,29.32 
fcmTrainFeatSet(f7_comp3),3.01 ,2.25 ,2.41 ,0.67 ,6.67 ,18.65 ,3.93 ,2.80 ,3.03 ,0.79 ,9.10 ,44.46 
fcmTrainFeatSet(f7_comp4),2.99 ,2.18 ,2.38 ,0.69 ,6.65 ,19.50 ,3.90 ,2.76 ,3.02 ,0.81 ,9.06 ,44.41 
kfcmTrainFeatSet(f1_cm),2.59 ,1.35 ,1.76 ,0.00 ,7.53 ,19.28 ,3.34 ,1.57 ,2.13 ,0.00 ,9.82 ,25.43 
kfcmTrainFeatSet(f2_corrm),3.33 ,2.62 ,2.76 ,0.69 ,7.26 ,19.94 ,4.29 ,3.30 ,3.50 ,0.85 ,9.53 ,23.42 
kfcmTrainFeatSet(f2_corrm_root),3.62 ,2.95 ,3.05 ,0.80 ,7.72 ,20.43 ,4.67 ,3.55 ,3.81 ,0.98 ,10.25 ,33.69 
kfcmTrainFeatSet(f3_cdf),8.65 ,2.60 ,3.11 ,0.00 ,29.53 ,177.12 ,9.64 ,3.05 ,3.82 ,0.00 ,32.31 ,177.44 
kfcmTrainFeatSet(f4_iif),4.14 ,3.03 ,3.37 ,0.97 ,9.06 ,22.34 ,5.40 ,3.68 ,4.28 ,1.13 ,12.37 ,36.04 
kfcmTrainFeatSet(f4_iif_s4),4.13 ,3.03 ,3.32 ,0.87 ,9.25 ,22.23 ,5.45 ,3.50 ,4.21 ,1.03 ,12.67 ,38.74 
kfcmTrainFeatSet(f5_RGBuv),3.25 ,2.35 ,2.55 ,0.67 ,7.35 ,24.81 ,4.39 ,2.98 ,3.22 ,0.79 ,10.48 ,110.51 
kfcmTrainFeatSet(f6_feat4Cheng),4.17 ,3.03 ,3.41 ,0.85 ,9.29 ,19.04 ,5.47 ,3.63 ,4.30 ,0.98 ,12.72 ,30.84 
kfcmTrainFeatSet(f7_comp2),3.06 ,2.20 ,2.40 ,0.68 ,6.85 ,18.25 ,3.98 ,2.73 ,2.99 ,0.79 ,9.27 ,29.51 
kfcmTrainFeatSet(f7_comp3),3.01 ,2.24 ,2.40 ,0.67 ,6.70 ,19.48 ,3.94 ,2.75 ,2.97 ,0.79 ,9.17 ,47.80 
kfcmTrainFeatSet(f7_comp4),2.99 ,2.17 ,2.36 ,0.68 ,6.68 ,19.16 ,3.90 ,2.80 ,3.02 ,0.80 ,9.12 ,45.81 
